control,ano,quantidade_kilo
brancaserosadas_patricia,1985,0
brancaserosadas_perlona,1985,10548
brancaserosadas_italia,1985,5877
"brancaserosadas_rubi_italia,_italia_ro",1985,0
tintas,1986,7352
tintas_alphonse_lavallee,1986,5147
tintas_moscato_de_hamburgo,1986,2205
brancas,1986,32966
brancaserosadas_cardinal,1986,0
brancaserosadas_golden_queen,1986,3358
brancaserosadas_patricia,1986,0
brancaserosadas_perlona,1986,10753
brancaserosadas_italia,1986,18855
"brancaserosadas_rubi_italia,_italia_ro",1986,0
tintas,1987,12670
tintas_alphonse_lavallee,1987,12670
tintas_moscato_de_hamburgo,1987,0
brancas,1987,70127
brancaserosadas_cardinal,1987,0
brancaserosadas_golden_queen,1987,1321
brancaserosadas_patricia,1987,0
brancaserosadas_perlona,1987,64694
brancaserosadas_italia,1987,4112
"brancaserosadas_rubi_italia,_italia_ro",1987,0
tintas,1988,58681
tintas_alphonse_lavallee,1988,0
tintas_moscato_de_hamburgo,1988,0
brancas,1988,0
brancaserosadas_cardinal,1988,0
brancaserosadas_golden_queen,1988,0
brancaserosadas_patricia,1988,0
brancaserosadas_perlona,1988,0
brancaserosadas_italia,1988,0
"brancaserosadas_rubi_italia,_italia_ro",1988,0
tintas,1989,441541
tintas_alphonse_lavallee,1989,0
tintas_moscato_de_hamburgo,1989,0
brancas,1989,0
brancaserosadas_cardinal,1989,0
brancaserosadas_golden_queen,1989,0
brancaserosadas_patricia,1989,0
brancaserosadas_perlona,1989,0
brancaserosadas_italia,1989,0
"brancaserosadas_rubi_italia,_italia_ro",1989,0
tintas,1990,157262
tintas_alphonse_lavallee,1990,0
tintas_moscato_de_hamburgo,1990,0
brancas,1990,0
brancaserosadas_cardinal,1990,0
brancaserosadas_golden_queen,1990,0
brancaserosadas_patricia,1990,0
brancaserosadas_perlona,1990,0
brancaserosadas_italia,1990,0
"brancaserosadas_rubi_italia,_italia_ro",1990,0
tintas,1991,104326
tintas_alphonse_lavallee,1991,0
tintas_moscato_de_hamburgo,1991,0
brancas,1991,0
brancaserosadas_cardinal,1991,0
brancaserosadas_golden_queen,1991,0
brancaserosadas_patricia,1991,0
brancaserosadas_perlona,1991,0
brancaserosadas_italia,1991,0
"brancaserosadas_rubi_italia,_italia_ro",1991,0
tintas,1992,94021
tintas_alphonse_lavallee,1992,0
tintas_moscato_de_hamburgo,1992,0
brancas,1992,0
brancaserosadas_cardinal,1992,0
brancaserosadas_golden_queen,1992,0
brancaserosadas_patricia,1992,0
brancaserosadas_perlona,1992,0
brancaserosadas_italia,1992,0
"brancaserosadas_rubi_italia,_italia_ro",1992,0
tintas,1993,0
tintas_alphonse_lavallee,1993,0
tintas_moscato_de_hamburgo,1993,0
brancas,1993,0
brancaserosadas_cardinal,1993,0
brancaserosadas_golden_queen,1993,0
brancaserosadas_patricia,1993,0
brancaserosadas_perlona,1993,0
brancaserosadas_italia,1993,0
"brancaserosadas_rubi_italia,_italia_ro",1993,0
tintas,1994,3852587
tintas_alphonse_lavallee,1994,0
tintas_moscato_de_hamburgo,1994,0
brancas,1994,0
brancaserosadas_cardinal,1994,0
brancaserosadas_golden_queen,1994,0
brancaserosadas_patricia,1994,0
brancaserosadas_perlona,1994,0
brancaserosadas_italia,1994,0
"brancaserosadas_rubi_italia,_italia_ro",1994,0
tintas,1995,80197
tintas_alphonse_lavallee,1995,0
tintas_moscato_de_hamburgo,1995,0
brancas,1995,0
brancaserosadas_cardinal,1995,0
brancaserosadas_golden_queen,1995,0
brancaserosadas_patricia,1995,0
brancaserosadas_perlona,1995,0
brancaserosadas_italia,1995,0
"brancaserosadas_rubi_italia,_italia_ro",1995,0
tintas,1996,1389173
tintas_alphonse_lavallee,1996,0
tintas_moscato_de_hamburgo,1996,0
brancas,1996,0
brancaserosadas_cardinal,1996,0
brancaserosadas_golden_queen,1996,0
brancaserosadas_patricia,1996,0
brancaserosadas_perlona,1996,0
brancaserosadas_italia,1996,0
"brancaserosadas_rubi_italia,_italia_ro",1996,0
tintas,1997,374934
tintas_alphonse_lavallee,1997,0
tintas_moscato_de_hamburgo,1997,0
brancas,1997,0
brancaserosadas_cardinal,1997,0
brancaserosadas_golden_queen,1997,0
brancaserosadas_patricia,1997,0
brancaserosadas_perlona,1997,0
brancaserosadas_italia,1997,0
"brancaserosadas_rubi_italia,_italia_ro",1997,0
tintas,1998,21638
tintas_alphonse_lavallee,1998,0
tintas_moscato_de_hamburgo,1998,0
brancas,1998,0
brancaserosadas_cardinal,1998,0
brancaserosadas_golden_queen,1998,0
brancaserosadas_patricia,1998,0
brancaserosadas_perlona,1998,0
brancaserosadas_italia,1998,0
"brancaserosadas_rubi_italia,_italia_ro",1998,0
tintas,1999,480
tintas_alphonse_lavallee,1999,0
tintas_moscato_de_hamburgo,1999,0
brancas,1999,0
brancaserosadas_cardinal,1999,0
brancaserosadas_golden_queen,1999,0
brancaserosadas_patricia,1999,0
brancaserosadas_perlona,1999,0
brancaserosadas_italia,1999,0
"brancaserosadas_rubi_italia,_italia_ro",1999,0
tintas,2000,13877
tintas_alphonse_lavallee,2000,0
tintas_moscato_de_hamburgo,2000,13877
brancas,2000,602113
brancaserosadas_cardinal,2000,0
brancaserosadas_golden_queen,2000,0
brancaserosadas_patricia,2000,20515
brancaserosadas_perlona,2000,581598
brancaserosadas_italia,2000,0
"brancaserosadas_rubi_italia,_italia_ro",2000,0
tintas,2001,23660
tintas_alphonse_lavallee,2001,3613
tintas_moscato_de_hamburgo,2001,20047
brancas,2001,118013
brancaserosadas_cardinal,2001,0
brancaserosadas_golden_queen,2001,0
brancaserosadas_patricia,2001,23661
brancaserosadas_perlona,2001,94352
brancaserosadas_italia,2001,0
"brancaserosadas_rubi_italia,_italia_ro",2001,0
tintas,2002,23239
tintas_alphonse_lavallee,2002,0
tintas_moscato_de_hamburgo,2002,23239
brancas,2002,100923
brancaserosadas_cardinal,2002,0
brancaserosadas_golden_queen,2002,0
brancaserosadas_patricia,2002,42357
brancaserosadas_perlona,2002,58566
brancaserosadas_italia,2002,0
"brancaserosadas_rubi_italia,_italia_ro",2002,0
tintas,2003,7366
tintas_alphonse_lavallee,2003,0
tintas_moscato_de_hamburgo,2003,7366
brancas,2003,136658
brancaserosadas_cardinal,2003,0
brancaserosadas_golden_queen,2003,0
brancaserosadas_patricia,2003,75480
brancaserosadas_perlona,2003,61178
brancaserosadas_italia,2003,0
"brancaserosadas_rubi_italia,_italia_ro",2003,0
tintas,2004,49698
tintas_alphonse_lavallee,2004,0
tintas_moscato_de_hamburgo,2004,49698
brancas,2004,73187
brancaserosadas_cardinal,2004,0
brancaserosadas_golden_queen,2004,0
brancaserosadas_patricia,2004,6172
brancaserosadas_perlona,2004,33155
brancaserosadas_italia,2004,33860
"brancaserosadas_rubi_italia,_italia_ro",2004,0
tintas,2005,49820
tintas_alphonse_lavallee,2005,1500
tintas_moscato_de_hamburgo,2005,48320
brancas,2005,39470
brancaserosadas_cardinal,2005,1620
brancaserosadas_golden_queen,2005,0
brancaserosadas_patricia,2005,0
brancaserosadas_perlona,2005,32105
brancaserosadas_italia,2005,1630
"brancaserosadas_rubi_italia,_italia_ro",2005,4115
tintas,2006,36105
tintas_alphonse_lavallee,2006,0
tintas_moscato_de_hamburgo,2006,36105
brancas,2006,17889
brancaserosadas_cardinal,2006,0
brancaserosadas_golden_queen,2006,0
brancaserosadas_patricia,2006,0
brancaserosadas_perlona,2006,14569
brancaserosadas_italia,2006,3320
"brancaserosadas_rubi_italia,_italia_ro",2006,0
tintas,2007,66970
tintas_alphonse_lavallee,2007,0
tintas_moscato_de_hamburgo,2007,66970
brancas,2007,36619
brancaserosadas_cardinal,2007,0
brancaserosadas_golden_queen,2007,0
brancaserosadas_patricia,2007,0
brancaserosadas_perlona,2007,25899
brancaserosadas_italia,2007,5130
"brancaserosadas_rubi_italia,_italia_ro",2007,5590
tintas,2008,101101
tintas_alphonse_lavallee,2008,0
tintas_moscato_de_hamburgo,2008,101101
brancas,2008,55297
brancaserosadas_cardinal,2008,4610
brancaserosadas_golden_queen,2008,0
brancaserosadas_patricia,2008,0
brancaserosadas_perlona,2008,37376
brancaserosadas_italia,2008,2300
"brancaserosadas_rubi_italia,_italia_ro",2008,11011
tintas,2009,84397
tintas_alphonse_lavallee,2009,0
tintas_moscato_de_hamburgo,2009,84397
brancas,2009,14440
brancaserosadas_cardinal,2009,0
brancaserosadas_golden_queen,2009,0
brancaserosadas_patricia,2009,0
brancaserosadas_perlona,2009,11335
brancaserosadas_italia,2009,0
"brancaserosadas_rubi_italia,_italia_ro",2009,3105
tintas,2010,31771
tintas_alphonse_lavallee,2010,0
tintas_moscato_de_hamburgo,2010,31771
brancas,2010,11575
brancaserosadas_cardinal,2010,0
brancaserosadas_golden_queen,2010,0
brancaserosadas_patricia,2010,0
brancaserosadas_perlona,2010,10375
brancaserosadas_italia,2010,0
"brancaserosadas_rubi_italia,_italia_ro",2010,1200
tintas,2011,89305
tintas_alphonse_lavallee,2011,0
tintas_moscato_de_hamburgo,2011,89305
brancas,2011,19458
brancaserosadas_cardinal,2011,0
brancaserosadas_golden_queen,2011,0
brancaserosadas_patricia,2011,0
brancaserosadas_perlona,2011,5575
brancaserosadas_italia,2011,0
"brancaserosadas_rubi_italia,_italia_ro",2011,13883
tintas,2012,145132
tintas_alphonse_lavallee,2012,0
tintas_moscato_de_hamburgo,2012,145132
brancas,2012,62564
brancaserosadas_cardinal,2012,0
brancaserosadas_golden_queen,2012,0
brancaserosadas_patricia,2012,0
brancaserosadas_perlona,2012,9695
brancaserosadas_italia,2012,0
"brancaserosadas_rubi_italia,_italia_ro",2012,52869
tintas,2013,75362
tintas_alphonse_lavallee,2013,0
tintas_moscato_de_hamburgo,2013,75362
brancas,2013,4412
brancaserosadas_cardinal,2013,0
brancaserosadas_golden_queen,2013,0
brancaserosadas_patricia,2013,0
brancaserosadas_perlona,2013,3378
brancaserosadas_italia,2013,0
"brancaserosadas_rubi_italia,_italia_ro",2013,1034
tintas,2014,65850
tintas_alphonse_lavallee,2014,0
tintas_moscato_de_hamburgo,2014,65850
brancas,2014,30600
brancaserosadas_cardinal,2014,0
brancaserosadas_golden_queen,2014,0
brancaserosadas_patricia,2014,0
brancaserosadas_perlona,2014,850
brancaserosadas_italia,2014,0
"brancaserosadas_rubi_italia,_italia_ro",2014,29750
tintas,2015,108797
tintas_alphonse_lavallee,2015,0
tintas_moscato_de_hamburgo,2015,108797
brancas,2015,64540
brancaserosadas_cardinal,2015,0
brancaserosadas_golden_queen,2015,0
brancaserosadas_patricia,2015,0
brancaserosadas_perlona,2015,3280
brancaserosadas_italia,2015,0
"brancaserosadas_rubi_italia,_italia_ro",2015,61260
tintas,2016,51310
tintas_alphonse_lavallee,2016,0
tintas_moscato_de_hamburgo,2016,51310
brancas,2016,3260
brancaserosadas_cardinal,2016,0
brancaserosadas_golden_queen,2016,0
brancaserosadas_patricia,2016,0
brancaserosadas_perlona,2016,290
brancaserosadas_italia,2016,0
"brancaserosadas_rubi_italia,_italia_ro",2016,2970
tintas,2017,85510
tintas_alphonse_lavallee,2017,0
tintas_moscato_de_hamburgo,2017,85510
brancas,2017,5900
brancaserosadas_cardinal,2017,0
brancaserosadas_golden_queen,2017,0
brancaserosadas_patricia,2017,0
brancaserosadas_perlona,2017,180
brancaserosadas_italia,2017,0
"brancaserosadas_rubi_italia,_italia_ro",2017,5720
tintas,2018,62567
tintas_alphonse_lavallee,2018,0
tintas_moscato_de_hamburgo,2018,62567
brancas,2018,730
brancaserosadas_cardinal,2018,0
brancaserosadas_golden_queen,2018,0
brancaserosadas_patricia,2018,0
brancaserosadas_perlona,2018,730
brancaserosadas_italia,2018,0
"brancaserosadas_rubi_italia,_italia_ro",2018,0
tintas,2019,nd
tintas_alphonse_lavallee,2019,nd
tintas_moscato_de_hamburgo,2019,nd
brancas,2019,nd
brancaserosadas_cardinal,2019,nd
brancaserosadas_golden_queen,2019,nd
brancaserosadas_patricia,2019,nd
brancaserosadas_perlona,2019,nd
brancaserosadas_italia,2019,nd
"brancaserosadas_rubi_italia,_italia_ro",2019,nd
tintas,2020,63474
tintas_alphonse_lavallee,2020,0
