control,ano,quantidade_kilo
brancaserosadas_mistura_de_uvas_americanas,1972,0
brancaserosadas_moscatoembrapa,1972,0
brancaserosadas_niagara,1972,253262
brancaserosadas_niagarabranca,1972,0
brancaserosadas_niagararosada,1972,0
brancaserosadas_poloske,1972,0
brancaserosadas_selecoes,1972,0
brancaserosadas_seyvevillard,1972,145444
brancaserosadas_seyvevillard5276,1972,0
brancaserosadas_seyvevillard12375,1972,0
brancaserosadas_tardiadecaxias,1972,0
brancaserosadas_outras,1972,0
tintas,1973,161593877
tintas_bacarina,1973,58690
tintas_bailey,1973,0
tintas_bordo,1973,5584243
tintas_bourdin_s,1973,0
tintas_brscarmen,1973,0
tintas_brscora,1973,0
tintas_brs_magna,1973,0
tintas_brs_margot,1973,0
tintas_brsmorena,1973,0
tintas_brs_rubea,1973,0
tintas_brsvioleta,1973,0
tintas_brs_vitoria,1973,0
tintas_champagnon_champanheta,1973,0
tintas_colecoes,1973,0
tintas_concord,1973,1850704
tintas_concordclone30,1973,0
tintas_couderc,1973,2602220
tintas_cynthiana_1,1973,360571
tintas_herbemont,1973,33214347
tintas_iac138022,1973,0
tintas_isabel,1973,109787700
tintas_isabelprecoce,1973,0
tintas_jacquez,1973,302686
tintas_kyoko,1973,0
tintas_landot,1973,80995
tintas_mistura_de_uvas_americanas_tinto,1973,0
tintas_oberlin,1973,9483
tintas_othello,1973,17358
tintas_paco,1973,0
tintas_patricia,1973,0
tintas_seibel,1973,7724880
tintas_seibel2_seibeleto,1973,0
tintas_seyvewillard_tinta,1973,0
tintas_vênus,1973,0
brancaserosadas,1973,231984
brancaserosadas_baco,1973,0
brancaserosadas_bokay,1973,0
brancaserosadas_brsclara,1973,0
brancaserosadas_brslorena,1973,0
brancaserosadas_couderc13,1973,0
brancaserosadas_delaware,1973,0
brancaserosadas_donazilla,1973,0
brancaserosadas_dutchess,1973,0
brancaserosadas_goethe,1973,113941
brancaserosadas_iac,1973,0
brancaserosadas_juliana,1973,0
brancaserosadas_martha,1973,5126
brancaserosadas_mistura_de_uvas_americanas,1973,0
brancaserosadas_moscatoembrapa,1973,0
brancaserosadas_niagara,1973,112917
brancaserosadas_niagarabranca,1973,0
brancaserosadas_niagararosada,1973,0
brancaserosadas_poloske,1973,0
brancaserosadas_selecoes,1973,0
brancaserosadas_seyvevillard,1973,0
brancaserosadas_seyvevillard5276,1973,0
brancaserosadas_seyvevillard12375,1973,0
brancaserosadas_tardiadecaxias,1973,0
brancaserosadas_outras,1973,0
tintas,1974,295404693
tintas_bacarina,1974,138158
tintas_bailey,1974,0
tintas_bordo,1974,13341412
tintas_bourdin_s,1974,0
tintas_brscarmen,1974,0
tintas_brscora,1974,0
tintas_brs_magna,1974,0
tintas_brs_margot,1974,0
tintas_brsmorena,1974,0
tintas_brs_rubea,1974,0
tintas_brsvioleta,1974,0
tintas_brs_vitoria,1974,0
tintas_champagnon_champanheta,1974,0
tintas_colecoes,1974,0
tintas_concord,1974,5218933
tintas_concordclone30,1974,0
tintas_couderc,1974,5057735
tintas_cynthiana_1,1974,605039
tintas_herbemont,1974,65865189
tintas_iac138022,1974,0
tintas_isabel,1974,191946376
tintas_isabelprecoce,1974,0
tintas_jacquez,1974,847092
tintas_kyoko,1974,0
tintas_landot,1974,103456
tintas_mistura_de_uvas_americanas_tinto,1974,0
tintas_oberlin,1974,47350
tintas_othello,1974,54730
tintas_paco,1974,0
tintas_patricia,1974,0
tintas_seibel,1974,12179223
tintas_seibel2_seibeleto,1974,0
tintas_seyvewillard_tinta,1974,0
tintas_vênus,1974,0
brancaserosadas,1974,2865338
brancaserosadas_baco,1974,0
brancaserosadas_bokay,1974,0
brancaserosadas_brsclara,1974,0
brancaserosadas_brslorena,1974,0
brancaserosadas_couderc13,1974,0
brancaserosadas_delaware,1974,0
brancaserosadas_donazilla,1974,0
brancaserosadas_dutchess,1974,0
brancaserosadas_goethe,1974,371399
brancaserosadas_iac,1974,0
brancaserosadas_juliana,1974,0
brancaserosadas_martha,1974,17486
brancaserosadas_mistura_de_uvas_americanas,1974,0
brancaserosadas_moscatoembrapa,1974,0
brancaserosadas_niagara,1974,2476453
brancaserosadas_niagarabranca,1974,0
brancaserosadas_niagararosada,1974,0
brancaserosadas_poloske,1974,0
brancaserosadas_selecoes,1974,0
brancaserosadas_seyvevillard,1974,0
brancaserosadas_seyvevillard5276,1974,0
brancaserosadas_seyvevillard12375,1974,0
brancaserosadas_tardiadecaxias,1974,0
brancaserosadas_outras,1974,0
tintas,1975,282003228
tintas_bacarina,1975,101454
tintas_bailey,1975,0
tintas_bordo,1975,16023998
tintas_bourdin_s,1975,0
tintas_brscarmen,1975,0
tintas_brscora,1975,0
tintas_brs_magna,1975,0
tintas_brs_margot,1975,0
tintas_brsmorena,1975,0
tintas_brs_rubea,1975,0
tintas_brsvioleta,1975,0
tintas_brs_vitoria,1975,0
tintas_champagnon_champanheta,1975,0
tintas_colecoes,1975,0
tintas_concord,1975,7361018
tintas_concordclone30,1975,0
tintas_couderc,1975,4052782
tintas_cynthiana_1,1975,544666
tintas_herbemont,1975,48754240
tintas_iac138022,1975,0
tintas_isabel,1975,193394592
tintas_isabelprecoce,1975,0
tintas_jacquez,1975,513846
tintas_kyoko,1975,0
tintas_landot,1975,104110
tintas_mistura_de_uvas_americanas_tinto,1975,0
tintas_oberlin,1975,17264
tintas_othello,1975,53172
tintas_paco,1975,0
tintas_patricia,1975,0
tintas_seibel,1975,11082086
tintas_seibel2_seibeleto,1975,0
tintas_seyvewillard_tinta,1975,0
tintas_vênus,1975,0
brancaserosadas,1975,2717527
brancaserosadas_baco,1975,2610
brancaserosadas_bokay,1975,0
brancaserosadas_brsclara,1975,0
brancaserosadas_brslorena,1975,0
brancaserosadas_couderc13,1975,0
brancaserosadas_delaware,1975,0
brancaserosadas_donazilla,1975,0
brancaserosadas_dutchess,1975,0
brancaserosadas_goethe,1975,280190
brancaserosadas_iac,1975,0
brancaserosadas_juliana,1975,0
brancaserosadas_martha,1975,13578
brancaserosadas_mistura_de_uvas_americanas,1975,0
brancaserosadas_moscatoembrapa,1975,0
brancaserosadas_niagara,1975,2409319
brancaserosadas_niagarabranca,1975,0
brancaserosadas_niagararosada,1975,0
brancaserosadas_poloske,1975,0
brancaserosadas_selecoes,1975,0
brancaserosadas_seyvevillard,1975,11830
brancaserosadas_seyvevillard5276,1975,0
brancaserosadas_seyvevillard12375,1975,0
brancaserosadas_tardiadecaxias,1975,0
brancaserosadas_outras,1975,0
tintas,1976,222289729
tintas_bacarina,1976,57297
tintas_bailey,1976,0
tintas_bordo,1976,12725233
tintas_bourdin_s,1976,0
tintas_brscarmen,1976,0
tintas_brscora,1976,0
tintas_brs_magna,1976,0
tintas_brs_margot,1976,0
tintas_brsmorena,1976,0
tintas_brs_rubea,1976,0
tintas_brsvioleta,1976,0
tintas_brs_vitoria,1976,0
tintas_champagnon_champanheta,1976,0
tintas_colecoes,1976,0
tintas_concord,1976,6140559
tintas_concordclone30,1976,0
tintas_couderc,1976,4084126
tintas_cynthiana_1,1976,351881
tintas_herbemont,1976,41938949
tintas_iac138022,1976,0
tintas_isabel,1976,146746340
tintas_isabelprecoce,1976,0
tintas_jacquez,1976,495973
tintas_kyoko,1976,0
tintas_landot,1976,87904
tintas_mistura_de_uvas_americanas_tinto,1976,0
tintas_oberlin,1976,10611
tintas_othello,1976,77044
tintas_paco,1976,0
tintas_patricia,1976,0
tintas_seibel,1976,9573812
tintas_seibel2_seibeleto,1976,0
tintas_seyvewillard_tinta,1976,0
tintas_vênus,1976,0
brancaserosadas,1976,1269187
brancaserosadas_baco,1976,4172
brancaserosadas_bokay,1976,0
brancaserosadas_brsclara,1976,0
brancaserosadas_brslorena,1976,0
brancaserosadas_couderc13,1976,0
brancaserosadas_delaware,1976,0
brancaserosadas_donazilla,1976,0
brancaserosadas_dutchess,1976,0
brancaserosadas_goethe,1976,228609
brancaserosadas_iac,1976,0
brancaserosadas_juliana,1976,0
brancaserosadas_martha,1976,1108
brancaserosadas_mistura_de_uvas_americanas,1976,0
brancaserosadas_moscatoembrapa,1976,0
brancaserosadas_niagara,1976,1035298
brancaserosadas_niagarabranca,1976,0
brancaserosadas_niagararosada,1976,0
brancaserosadas_poloske,1976,0
brancaserosadas_selecoes,1976,0
brancaserosadas_seyvevillard,1976,0
brancaserosadas_seyvevillard5276,1976,0
brancaserosadas_seyvevillard12375,1976,0
brancaserosadas_tardiadecaxias,1976,0
brancaserosadas_outras,1976,0
tintas,1977,272772106
tintas_bacarina,1977,0
tintas_bailey,1977,0
tintas_bordo,1977,18714617
tintas_bourdin_s,1977,0
tintas_brscarmen,1977,0
tintas_brscora,1977,0
tintas_brs_magna,1977,0
tintas_brs_margot,1977,0
tintas_brsmorena,1977,0
